filename	ID_gesture	t0	t1	size.rh	size.lh	size	traj.rh	traj.lh	traj	ampl_y.rh	ampl_y.lh	ampl_y	ampl_x.rh	ampl_x.lh	ampl_x	peak_velo.rh	peak_velo.lh	peak_velo	apex.rh	apex.lh	ID_phrase	nonref	icon	metaph	deixis	conv	hand	phrase_position	item	gender	language	condition	ID_participant	ID_partner	ID_interaction
antwerp1a_run1	sem_1	55408	56873	0.042	0.001	0.042	0.75	0.083	0.75	0.726	0.368	0.726	0.292	0.053	0.292	1.011	0.097	1.011	55960	55640	phrase_1	no	yes	no	no	no	right	no	gym	f	dutch	L1-L1	antwerp1a	antwerp1b	1
antwerp1a_run2	sem_1	4495	7666	0.282	0.039	0.039	1.721	0.464	0.464	1.261	0.589	0.589	0.607	0.107	0.107	1.13	0.579	0.579	7120	4520	phrase_1	no	yes	no	abstract	no	left	no	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_10	17433	18667	0.005	0	0	0.486	0	0	0.797	0.333	0.333	0.281	0.015	0.015	0.78	0	0	18200	17440	phrase_1	no	yes	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_11	18667	20250	0.006	0	0	0.472	0	0	0.796	0.333	0.333	0.29	0.015	0.015	0.584	0	0	19760	18680	phrase_1	yes	no	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_12	20250	23378	0.108	0	0	2.207	0.039	0.039	0.864	0.35	0.35	0.373	0.032	0.032	1.78	0.054	0.054	23120	22360	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_13	23378	25500	0.046	0	0	1.197	0.025	0.025	0.845	0.344	0.344	0.323	0.032	0.032	1.333	0.053	0.053	23400	23400	phrase_1	yes	no	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_14	25500	26472	0.011	0	0	0.195	0	0	0.821	0.339	0.339	0.26	0.016	0.016	0.761	0.002	0.002	26440	25520	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_15	26472	26894	0	0	0	0.061	0	0	0.828	0.339	0.339	0.211	0.016	0.016	0.232	0	0	26480	26480	phrase_1	yes	no	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_16	26894	28555	0.065	0	0	1.039	0.013	0.013	0.787	0.339	0.339	0.308	0.018	0.018	1.322	0.046	0.046	26920	28520	phrase_1	no	no	no	abstract	no	left	last	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_17	30055	31722	0.003	0	0	0.087	0.003	0.003	0.911	0.341	0.341	0.254	0.031	0.031	0.152	0.007	0.007	31720	30080	phrase_2	no	no	yes	no	no	left	no	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_2	7666	8416	0.011	0	0	0.222	0.002	0.002	1.011	0.306	0.306	0.446	0.008	0.008	0.482	0.047	0.047	7680	8400	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_3	8416	10388	0.009	0	0	0.275	0.031	0.031	0.999	0.323	0.323	0.34	0.016	0.016	0.246	0.073	0.073	9160	10360	phrase_1	no	yes	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_4	10388	11555	0.001	0	0	0.071	0.027	0.027	0.835	0.333	0.333	0.303	0.025	0.025	0.109	0.04	0.04	11240	10760	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_5	11555	12777	0.003	0	0	0.11	0.037	0.037	0.828	0.343	0.343	0.302	0.029	0.029	0.173	0.064	0.064	11560	12760	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_6	12777	14472	0.003	0	0	0.085	0	0	0.828	0.343	0.343	0.306	0.03	0.03	0.186	0.024	0.024	13680	12840	phrase_1	no	yes	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_7	14472	15500	0.002	0	0	0.082	0.016	0.016	0.804	0.343	0.343	0.306	0.03	0.03	0.156	0.044	0.044	14720	14480	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_8	15500	16500	0	0	0	0.075	0.004	0.004	0.739	0.338	0.338	0.279	0.015	0.015	0.543	0.014	0.014	15520	15520	phrase_1	yes	no	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1a_run2	sem_9	16500	17433	0.016	0	0	0.499	0	0	0.824	0.333	0.333	0.309	0.015	0.015	0.695	0	0	17200	16520	phrase_1	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp1a	antwerp1b	2
antwerp1b_run1	sem_1	920	2675	0.016	0.078	0.078	0.332	0.731	0.731	0.81	0.805	0.81	0.39	0.249	0.39	0.785	0.766	0.785	1640	1640	phrase_1	no	yes	no	no	no	both	no	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_10	11987	12478	0	0.025	0.025	0.006	0.242	0.242	0.121	0.594	0.594	0.264	0.233	0.233	0.044	0.55	0.55	12000	12440	phrase_1	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_11	12478	13035	0	0.029	0.029	0.002	0.308	0.308	0.121	0.629	0.629	0.258	0.369	0.369	0.006	0.691	0.691	12480	12680	phrase_1	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_12	13035	15901	0	0.052	0.052	0	0.883	0.883	0.12	0.502	0.502	0.256	0.358	0.358	0.004	0.666	0.666	13040	13040	phrase_1	yes	no	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_13	15901	17558	0.107	0.03	0.107	0.847	0.481	0.847	0.945	0.947	0.947	0.386	0.199	0.386	1.501	0.676	1.501	17280	17520	phrase_1	no	yes	no	no	no	both	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_14	17558	18233	0.096	0.032	0.032	0.772	0.323	0.323	0.933	1.187	1.187	0.384	0.344	0.344	1.599	0.638	0.638	17560	18000	phrase_1	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_15	18233	19288	0.001	0.062	0.062	0.066	0.423	0.423	0.145	1.182	1.182	0.255	0.275	0.275	0.726	0.605	0.605	18240	18240	phrase_1	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_16	19288	20486	0	0.001	0.001	0.011	0.103	0.103	0.112	1.035	1.035	0.248	0.135	0.135	0.017	0.325	0.325	20120	20040	phrase_1	no	yes	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_17	20486	22344	0	0.101	0.101	0.002	0.588	0.588	0.112	1.227	1.227	0.248	0.418	0.418	0.006	0.893	0.893	20520	22240	phrase_1	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_18	22344	22995	0	0.003	0.003	0	0.136	0.136	0.111	1.245	1.245	0.246	0.415	0.415	0	0.26	0.26	22360	22360	phrase_1	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_19	22995	23732	0	0.002	0.002	0	0.181	0.181	0.111	1.256	1.256	0.246	0.365	0.365	0	0.375	0.375	23000	23040	phrase_1	no	no	yes	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_2	2675	4133	0.009	0.004	0.009	0.25	0.155	0.25	0.725	0.516	0.725	0.449	0.151	0.449	0.315	0.283	0.315	3360	2720	phrase_1	no	no	no	abstract	no	right	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_20	23732	25220	0	0.001	0.001	0	0.074	0.074	0.111	1.075	1.075	0.246	0.35	0.35	0	0.227	0.227	23760	23760	phrase_1	no	no	yes	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_21	25220	26823	0	0.027	0.027	0.008	0.463	0.463	0.113	1.05	1.05	0.25	0.324	0.324	0.018	0.877	0.877	26120	25240	phrase_1	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_22	26823	27544	0	0	0	0.02	0.062	0.062	0.113	0.992	0.992	0.25	0.102	0.102	0.043	0.179	0.179	26840	27160	phrase_1	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_23	27544	28732	0	0.002	0.002	0.004	0.104	0.104	0.099	1.047	1.047	0.25	0.129	0.129	0.034	0.393	0.393	27560	27920	phrase_1	no	no	yes	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
